NOMEMCLATURA,PARTIDO,PARTIDO_NOMBRE,DENOMINACION,CLASE,TRANSITABIlIDAD,TIPO,LONGITUD_KM_ORIG,LONGITUD_KM_WGS84,N_VERTICES,N_LINEAS,DIFF_PCT,ALERTA
,34.0,Desconocido,Yerbas - Saladillo,DE TIERRA,TEMPORARIO,CAMINO,17.67,17.5323,13,1,-0.8,
,34.0,Desconocido,Yerbas - Saladillo,DE TIERRA,TEMPORARIO,CAMINO,19.405,20.6849,32,1,6.6,
,34.0,Desconocido,Gral Alvear - Mamaguita,DE TIERRA,TEMPORARIO,CAMINO,22.315,22.3793,43,1,0.3,
,34.0,Desconocido,J. M. Micheo - RP 51,DE TIERRA,TEMPORARIO,CAMINO,10.525,10.8563,17,1,3.1,
,34.0,Desconocido,Gral. Alvear - Bolivar,DE TIERRA,TEMPORARIO,CAMINO,35.362,30.9752,49,1,-12.4,REVISAR
,34.0,Desconocido,Gral Alvear - Tapalque,DE TIERRA,TEMPORARIO,CAMINO,48.399,47.3895,67,1,-2.1,
,34.0,Desconocido,Yerbas - Emma,DE TIERRA,TEMPORARIO,CAMINO,18.117,18.3866,27,1,1.5,
,34.0,Desconocido,RN 205 - 25 de Mayo,DE TIERRA,TEMPORARIO,CAMINO,11.72,10.8808,15,1,-7.2,
,34.0,Desconocido,Las Flores - Estrugamou,DE TIERRA,TEMPORARIO,CAMINO,5.388,5.3239,13,1,-1.2,
,34.0,Desconocido,RN 205 - Del Valle,DE TIERRA,TEMPORARIO,CAMINO,4.543,4.5329,17,1,-0.2,
